시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
34358203.0,60110.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
34791016.0,64341.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
36885735.0,124011.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
17654966.0,179726.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
479556006.0,396392.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
586223612.0,390170.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
266340038.0,273425.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
220175262.0,296107.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
288779192.0,614126.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
191954664.0,937469.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
153626534.0,22953.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
207407422.0,26945.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
91119809.0,18991.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
82378671.0,18706.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
101484750.0,33592.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
80234841.0,44520.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
530762935.0,279629.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
748425412.0,512247.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
357181157.0,436629.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
415183190.0,428265.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
627629133.0,546485.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
229110780.0,476253.0,360942.4,12723.0,2397.0,107.0,3218459.0,3814667562.0
229416966.0,223193.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
326323697.0,545777.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
219855417.0,455833.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
214350582.0,410545.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
197520344.0,420189.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
66043755.0,327462.0,327284.45,6518.0,1777.0,44.0,3602514.0,2489687551.0
871844133.0,316342.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
1097365545.0,718548.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
566983721.0,597226.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
584764972.0,556192.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
674006197.0,626535.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
345303557.0,503678.0,454065.45,13076.0,3959.0,156.0,3167104.0,3373530633.0
231943437.0,141992.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
388606556.0,386101.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
264596997.0,365626.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
251437739.0,339015.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
303000006.0,323715.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
64568387.0,196745.0,235367.75,8579.0,598.0,215.0,3837465.0,1170392552.0
615996832.0,128584.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
765008274.0,266165.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
456347787.0,259207.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
612913031.0,251111.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
531578455.0,282441.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
258898514.0,228882.0,187597.75,11725.0,1367.0,75.0,3360098.0,1867827087.0
654218877.0,203275.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
856573639.0,361935.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
458801217.0,342857.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
605403678.0,342162.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
733106499.0,439299.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
354358192.0,373723.0,274967.75,13888.0,2983.0,68.0,3300184.0,2887323339.0
1310413306.0,228629.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
1563203710.0,403147.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
837243543.0,385152.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
877595128.0,392661.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
920855499.0,506964.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
479484898.0,412859.0,307341.75,27363.0,4718.0,85.0,4243697.0,3473998985.0
161752249.0,57635.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
286686435.0,145488.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
222992665.0,144673.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
280173512.0,142952.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
254828692.0,144664.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
68790206.0,93479.0,95732.7,6384.0,596.0,22.0,3265276.0,1019509440.0
480874935.0,188571.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
635175974.0,343537.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
371395261.0,330102.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
432340912.0,330372.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
417402387.0,418169.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
248555613.0,337679.0,259872.6,12628.0,1764.0,67.0,3258234.0,1889746203.0
46201123.0,70452.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
78076728.0,191120.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
67879893.0,171830.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
73245518.0,157889.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
61452785.0,142206.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
42629436.0,92170.0,112811.4,5611.0,224.0,51.0,3256289.0,813650624.0
269594640.0,74956.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
365998917.0,135742.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
205733287.0,129230.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
278594499.0,129341.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
289522908.0,158060.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
151328697.0,134365.0,101114.4,9664.0,940.0,38.0,3429613.0,401199127.0
2276082230.0,323543.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
2995787299.0,761346.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
1947965396.0,817195.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
2325701881.0,808843.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
2221853857.0,862354.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
1005439685.0,511688.0,511297.5,58731.0,4337.0,172.0,3487230.0,3212597751.0
604093945.0,272968.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
759748629.0,431329.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
359197437.0,394995.0,348779.3,11531.0,5072.0,37.0,3332219.0,3913260246.0
