시간대_매출금액,기준_년,기준_분기,시간대,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
32037081.0,2021,1,2,0,0,3110972,5,11680.0,0,11680650.0,16,38283.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
18850470.0,2021,1,1,0,0,3110972,5,11680.0,0,11680650.0,16,68939.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2895574.0,2021,1,0,0,0,3110972,5,11680.0,0,11680650.0,16,84807.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
74814495.0,2021,1,5,0,0,3110976,43,11680.0,0,11680565.0,18,82547.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
104152568.0,2021,1,4,0,0,3110976,43,11680.0,0,11680565.0,18,132153.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
46334496.0,2021,1,3,0,0,3110976,43,11680.0,0,11680565.0,18,113285.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
42820807.0,2021,1,2,0,0,3110976,43,11680.0,0,11680565.0,18,117052.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
53288495.0,2021,1,1,0,0,3110976,43,11680.0,0,11680565.0,18,158071.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
17401505.0,2021,1,0,0,0,3110976,43,11680.0,0,11680565.0,18,159516.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
81282763.0,2021,1,5,0,0,3110977,13,11680.0,0,11680690.0,1,14343.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
98926052.0,2021,1,4,0,0,3110977,13,11680.0,0,11680690.0,1,21946.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
42040988.0,2021,1,3,0,0,3110977,13,11680.0,0,11680690.0,1,18269.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
50090671.0,2021,1,2,0,0,3110977,13,11680.0,0,11680690.0,1,18788.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
48195964.0,2021,1,1,0,0,3110977,13,11680.0,0,11680690.0,1,26072.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
31470193.0,2021,1,0,0,0,3110977,13,11680.0,0,11680690.0,1,25924.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
184177501.0,2021,1,5,0,0,3110981,12,11680.0,0,11680690.0,1,57788.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
239666796.0,2021,1,4,0,0,3110981,12,11680.0,0,11680690.0,1,81717.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
121844507.0,2021,1,3,0,0,3110981,12,11680.0,0,11680690.0,1,58999.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
112238086.0,2021,1,2,0,0,3110981,12,11680.0,0,11680690.0,1,60672.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
132615842.0,2021,1,1,0,0,3110981,12,11680.0,0,11680690.0,1,87651.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
89328369.0,2021,1,0,0,0,3110981,12,11680.0,0,11680690.0,1,101850.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
164916498.0,2021,1,5,0,0,3110984,55,11680.0,0,11680690.0,1,100496.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
223968645.0,2021,1,4,0,0,3110984,55,11680.0,0,11680690.0,1,101596.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
100267167.0,2021,1,3,0,0,3110984,55,11680.0,0,11680690.0,1,83970.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
124985929.0,2021,1,2,0,0,3110984,55,11680.0,0,11680690.0,1,100964.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
93341764.0,2021,1,1,0,0,3110984,55,11680.0,0,11680690.0,1,211684.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
