,기준년코드,기준분기코드,행정동코드,행정동코드명,임대시세층구분코드,임대시세층구분명,보증금평균,월임대료평균,환산임대료평균,임대건수
65,2021,1,11680740,일원2동,0,전체층,3764727.0,71883.0,109530.0,40.0
66,2021,1,11680750,수서동,2,1층외,1308246.0,87883.0,100965.0,66.0
67,2021,1,11680750,수서동,1,1층,3164022.0,133382.0,165022.0,33.0
68,2021,1,11680750,수서동,0,전체층,1926838.0,103049.0,122317.0,99.0
69,2021,2,11620685,신사동,0,전체층,1344580.0,86264.0,99710.0,147.0
70,2021,2,11620685,신사동,1,1층,1414341.0,98202.0,112346.0,99.0
71,2021,2,11620685,신사동,2,1층외,1200697.0,61642.0,73649.0,48.0
72,2021,2,11680510,신사동,0,전체층,1771788.0,121074.0,138792.0,319.0
73,2021,2,11680510,신사동,1,1층,2422802.0,161792.0,186020.0,127.0
74,2021,2,11680510,신사동,2,1층외,1341169.0,94141.0,107552.0,192.0
75,2021,2,11680521,논현1동,0,전체층,1643049.0,122978.0,139408.0,367.0
76,2021,2,11680521,논현1동,1,1층,2152632.0,146993.0,168519.0,150.0
77,2021,2,11680521,논현1동,2,1층외,1290802.0,106377.0,119285.0,217.0
78,2021,2,11680531,논현2동,0,전체층,1249219.0,125905.0,138397.0,355.0
79,2021,2,11680531,논현2동,1,1층,1705556.0,125488.0,142544.0,130.0
80,2021,2,11680531,논현2동,2,1층외,985557.0,126146.0,136002.0,225.0
81,2021,2,11680545,압구정동,0,전체층,2353032.0,119054.0,142584.0,283.0
82,2021,2,11680545,압구정동,1,1층,3198257.0,173238.0,205221.0,118.0
83,2021,2,11680545,압구정동,2,1층외,1748568.0,80304.0,97790.0,165.0
84,2021,2,11680565,청담동,0,전체층,1724281.0,126690.0,143933.0,295.0
85,2021,2,11680565,청담동,1,1층,2007258.0,165238.0,185310.0,97.0
86,2021,2,11680565,청담동,2,1층외,1585651.0,107806.0,123662.0,198.0
87,2021,2,11680580,삼성1동,0,전체층,2504341.0,187266.0,212309.0,183.0
88,2021,2,11680580,삼성1동,1,1층,1893137.0,133203.0,152134.0,55.0
89,2021,2,11680580,삼성1동,2,1층외,2766968.0,210496.0,238166.0,128.0
90,2021,2,11680590,삼성2동,0,전체층,1621715.0,111627.0,127844.0,234.0
91,2021,2,11680590,삼성2동,1,1층,2128661.0,140956.0,162242.0,90.0
92,2021,2,11680590,삼성2동,2,1층외,1304874.0,93296.0,106345.0,144.0
93,2021,2,11680600,대치1동,0,전체층,3425873.0,144129.0,178387.0,84.0
94,2021,2,11680600,대치1동,1,1층,4276483.0,209392.0,252157.0,32.0
95,2021,2,11680600,대치1동,2,1층외,2902422.0,103966.0,132991.0,52.0
96,2021,2,11680610,대치2동,0,전체층,1698679.0,136210.0,153197.0,237.0
97,2021,2,11680610,대치2동,1,1층,2472893.0,171847.0,196576.0,95.0
98,2021,2,11680610,대치2동,2,1층외,1180719.0,112368.0,124175.0,142.0
99,2021,2,11680630,대치4동,0,전체층,2646184.0,119566.0,146027.0,310.0
100,2021,2,11680630,대치4동,1,1층,3763377.0,166860.0,204493.0,110.0
101,2021,2,11680630,대치4동,2,1층외,2031728.0,93554.0,113871.0,200.0
102,2021,2,11680640,역삼1동,0,전체층,1494198.0,132773.0,147715.0,802.0
103,2021,2,11680640,역삼1동,1,1층,1953803.0,141900.0,161438.0,293.0
104,2021,2,11680640,역삼1동,2,1층외,1229631.0,127519.0,139815.0,509.0
105,2021,2,11680650,역삼2동,0,전체층,1706571.0,130866.0,147932.0,240.0
106,2021,2,11680650,역삼2동,1,1층,2198659.0,157119.0,179105.0,89.0
107,2021,2,11680650,역삼2동,2,1층외,1416533.0,115393.0,129558.0,151.0
108,2021,2,11680655,도곡1동,0,전체층,1451777.0,108846.0,123364.0,89.0
109,2021,2,11680655,도곡1동,1,1층,2068087.0,136888.0,157569.0,41.0
110,2021,2,11680655,도곡1동,2,1층외,925345.0,84893.0,94146.0,48.0
111,2021,2,11680656,도곡2동,0,전체층,1829095.0,126658.0,144949.0,118.0
112,2021,2,11680656,도곡2동,1,1층,2275734.0,148333.0,171091.0,49.0
113,2021,2,11680656,도곡2동,2,1층외,1511916.0,111265.0,126384.0,69.0
114,2021,2,11680660,개포1동,0,전체층,0.0,0.0,0.0,10.0
115,2021,2,11680660,개포1동,1,1층,0.0,0.0,0.0,2.0
