매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,시간대_생활인구_수,평일_생활인구_평균,주말_생활인구_평균,집객시설_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수
441468.4524,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,0,0,1,8,3836,2425,1542,130,41,815,550,128,40,27,36,222244,134334.8,111264.0,7,332.0,90.0,1823.0,1232.0,398.0,213.0,137.0,559.0,0
13316.31884,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,0,0,1,3,1995,1013,2628,56,2,250,123,180,62,11,2,67016,33369.8,30480.5,2,201.0,43.0,860.0,616.0,432.0,243.0,105.0,1194.0,0
114360.4692,2020,골목상권,2110974,언주중학교,1,0,0,0,0,0,0,1,6,1479,770,292,57,6,206,166,43,19,10,85,185718,109115.6,98755.0,2,203.0,32.0,803.0,609.0,178.0,84.0,42.0,1744.0,0
93593.99457,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,0,0,1,6,944,361,10837,25,2,22,46,17,9,24,130,56042,41217.2,39490.5,11,60.0,38.0,56.0,62.0,44.0,36.0,50.0,1721.0,8311
36389.84239,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,0,0,1,6,2011,1046,578,52,0,99,133,75,92,46,31,174889,126370.6,108895.0,2,123.0,22.0,360.0,242.0,345.0,197.0,124.0,1557.0,0
51427.33816,2020,골목상권,2110977,논현로18길,1,0,0,0,0,0,0,1,9,707,335,148,14,3,35,56,14,0,0,0,32014,20058.6,17201.0,0,192.0,63.0,578.0,709.0,455.0,36.0,50.0,20.0,0
67900.47464,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,0,0,1,3,2707,1114,663,75,14,155,238,188,20,49,15,139710,77256.6,67897.5,2,199.0,53.0,564.0,688.0,394.0,72.0,58.0,445.0,0
152896.1051,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,0,0,1,9,2105,876,361,52,14,128,232,153,12,4,0,140411,75033.6,72492.0,7,301.0,87.0,1056.0,1138.0,657.0,93.0,29.0,4.0,691
26878.68478,2020,골목상권,2110982,강남구보훈회관,1,0,0,0,0,0,0,1,1,837,409,166,23,6,107,61,16,36,81,537,58802,30688.6,32057.0,1,99.0,31.0,425.0,253.0,101.0,93.0,260.0,2916.0,0
125321.721,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,0,0,1,3,2836,1257,783,65,10,190,223,121,44,9,5,123815,60867.0,57733.0,4,232.0,55.0,660.0,823.0,528.0,68.0,48.0,74.0,0
83406.01812,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,0,0,0,0,0,0,1,12,4522,1948,1556,107,30,399,353,203,44,16,34,322151,136647.0,132774.0,14,246.0,56.0,864.0,884.0,564.0,117.0,32.0,198.0,223
135846.0326,2020,골목상권,2110985,청담근린공원,1,0,0,0,0,0,0,1,3,980,472,1338,27,0,21,42,45,27,6,98,72076,45843.8,40910.5,1,71.0,0.0,34.0,160.0,103.0,60.0,74.0,1718.0,0
73670.48913,2020,골목상권,2110988,청담역 3번,1,0,0,0,0,0,0,1,3,1340,480,1594,19,0,0,4,5,19,12,305,35191,26772.6,26296.0,5,51.0,2.0,43.0,114.0,20.0,33.0,98.0,1634.0,0
117604.3164,2020,골목상권,2110989,대치동아우편취급국,1,0,0,0,0,0,0,1,9,1575,908,444,59,2,306,232,96,26,6,3,143955,104013.0,83059.0,7,267.0,23.0,1531.0,1214.0,598.0,358.0,72.0,581.0,0
98996.39915,2020,골목상권,2110992,도곡초등학교,1,0,0,0,0,0,0,1,18,8040,3724,2179,203,18,727,607,317,115,78,65,491004,263059.2,288035.5,8,438.0,39.0,1437.0,1175.0,703.0,299.0,289.0,2447.0,0
38665.42391,2020,골목상권,2110994,개포고등학교,1,0,0,0,0,0,0,1,6,1706,744,494,54,3,101,106,56,31,2,22,191347,89081.8,85755.5,17,56.0,3.0,101.0,106.0,56.0,31.0,2.0,1998.0,0
43771.31884,2020,골목상권,2110995,봉은사역 4번,1,0,0,0,0,0,0,1,3,2888,1115,5085,70,1,58,47,25,43,75,644,152676,80714.2,80878.0,7,130.0,1.0,90.0,128.0,75.0,121.0,137.0,3153.0,5
47214.5942,2020,골목상권,2110996,대치2동주민센터,1,0,0,0,0,0,0,1,3,1545,729,1959,92,0,39,67,112,103,152,254,164310,108410.8,102977.0,4,213.0,11.0,283.0,411.0,292.0,187.0,251.0,3437.0,0
226543.0792,2020,골목상권,2110997,대청초등학교,1,0,0,0,0,0,0,1,21,7401,3439,1724,121,1,177,379,105,30,36,11,843823,376414.6,361136.5,51,159.0,1.0,280.0,990.0,573.0,399.0,272.0,876.0,8606
234568.0,2020,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,0,0,1,6,3125,2339,268,2,0,1,9,6,1,0,0,19725,11704.8,12535.0,4,13.0,0.0,1.0,50.0,193.0,286.0,393.0,1363.0,2599
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,0,0,0,0,0,0,1,3,458,199,39,0,0,0,0,0,0,0,0,3315,8372.0,7872.5,5,3.0,0.0,0.0,41.0,118.0,222.0,298.0,222.0,550
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,0,0,0,0,0,0,1,3,317,0,317,0,0,0,0,0,0,0,0,0,8.4,66.0,3,,,,,,,,,617
137463.1649,2020,골목상권,2110949,한남IC,1,0,0,0,0,0,0,0,6,564,281,1683,5,0,5,10,15,6,4,72,62156,48256.0,40918.5,3,78.0,3.0,253.0,145.0,89.0,27.0,59.0,1830.0,0
92178.30435,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,0,0,0,3,979,574,273,16,3,77,37,7,11,3,23,132045,87944.0,72718.5,1,107.0,4.0,376.0,333.0,123.0,86.0,62.0,138.0,0
140522.221,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,0,0,0,3,868,571,117,27,0,120,93,26,13,2,3,51590,24291.8,24552.5,2,176.0,3.0,769.0,1030.0,125.0,132.0,94.0,168.0,0
26777.27899,2020,골목상권,2110954,국기원,1,0,0,0,0,0,0,0,3,448,303,636,3,0,28,2,3,0,0,1,41906,58139.8,54275.0,3,51.0,2.0,257.0,226.0,52.0,39.0,53.0,104.0,0
248003.9097,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,0,0,0,29,7089,4515,3430,182,20,938,611,151,104,91,141,704867,402306.8,377699.0,12,414.0,33.0,2233.0,1792.0,350.0,260.0,143.0,428.0,0
