기준_년,기준_분기,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대,시간대_매출금액,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,연령대_10_직장인구_비율,연령대_20_직장인구_비율,연령대_30_직장인구_비율,연령대_40_직장인구_비율,연령대_50_직장인구_비율,연령대_60_이상_직장_인구_비율,총_상주인구_수,연령대_10_상주인구_비율,연령대_20_상주인구_비율,연령대_30_상주인구_비율,연령대_40_상주인구_비율,연령대_50_상주인구_비율,연령대_60_이상_상주인구_비율,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,영역_면적
2021,1,골목상권,3110957,언북중학교,11680.0,강남구,11680531.0,논현2동,17~21,178983557.0,133464.0,129963.8,86419.5,1251.0,0.0007993605115907274,0.20943245403677058,0.3029576338928857,0.2533972821742606,0.11750599520383694,0.11590727418065548,1761.0,0.07779670641680864,0.17035775127768313,0.2578080636002271,0.17660420215786485,0.12152186257808063,0.19591141396933562,1088.0,7.0,3496418.0,7.0,1591782820.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,94815.0
2021,1,골목상권,3110957,언북중학교,11680.0,강남구,11680531.0,논현2동,21~24,164133614.0,78120.0,129963.8,86419.5,1251.0,0.0007993605115907274,0.20943245403677058,0.3029576338928857,0.2533972821742606,0.11750599520383694,0.11590727418065548,1761.0,0.07779670641680864,0.17035775127768313,0.2578080636002271,0.17660420215786485,0.12152186257808063,0.19591141396933562,1088.0,7.0,3496418.0,7.0,1591782820.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,94815.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,00~06,52563116.0,205847.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,06~11,71172032.0,212115.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,11~14,91744235.0,156554.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,14~17,92260126.0,157921.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,17~21,180175416.0,180573.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,21~24,124207062.0,111362.0,153395.2,128697.5,962.0,0.005197505197505198,0.1787941787941788,0.2972972972972973,0.2577962577962578,0.14553014553014554,0.11538461538461539,2120.0,0.0830188679245283,0.19905660377358492,0.2655660377358491,0.17169811320754716,0.12028301886792453,0.16037735849056603,1314.0,1.0,3318129.0,7.0,1444220522.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,63031.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,00~06,62101570.0,174918.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,06~11,72557094.0,185224.0,130408.2,102239.5,1139.0,0.000877963125548727,0.1527655838454785,0.33274802458296754,0.33187006145741876,0.12467076382791922,0.05706760316066725,2245.0,0.07126948775055679,0.2026726057906459,0.30779510022271717,0.17461024498886416,0.10423162583518931,0.13942093541202671,1500.0,0.0,3218797.0,7.0,1570369626.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,65108.0
