상권_코드_명,행정동_코드_명,상권_코드,행정동_코드,center_point,latitude,longitude,예상_월매출,소규모 상가 임대료,지하1층 임대료,1층 임대료,2층 임대료,3층 임대료,4층 임대료,5층 임대료
서울세관,논현2동,3120196,11680531,POINT (127.03535286079035 37.51532487033642),37.51532487033642,127.03535286079035,271.058148686144,59.3,18.6,49.5,26.0,21.5,22.1,21.5
선릉역,대치4동,3120210,11680630,POINT (127.04935161427086 37.50461513797754),37.50461513797754,127.04935161427086,1513.8276427183366,69.0,25.9,46.7,33.0,25.4,21.9,21.9
선정릉역,삼성2동,3120207,11680590,POINT (127.0454895861816 37.511468489970795),37.5114684899708,127.0454895861816,504.00175247405787,59.3,19.4,56.9,28.2,23.6,21.3,20.6
선정릉역 4번,역삼1동,3110971,11680640,POINT (127.04287374371162 37.50727886732617),37.50727886732617,127.04287374371162,303.30326413909273,59.3,19.4,56.9,28.2,23.6,21.3,20.6
성수대교남단,압구정동,3120195,11680545,POINT (127.03446006414835 37.527676864421196),37.5276768644212,127.03446006414836,95.17430753495286,43.3,15.3,47.5,29.0,25.5,26.7,22.4
수서역,수서동,3120224,11680750,POINT (127.10303379753107 37.48778334773426),37.48778334773426,127.10303379753108,683.7066719490822,59.3,19.4,56.9,28.2,23.6,21.3,20.6
신논현역,논현1동,3120187,11680521,POINT (127.02527386300451 37.50502735503875),37.50502735503875,127.02527386300451,1095.4187585065022,103.1,35.2,106.1,46.1,36.0,29.9,30.1
압구정로데오역(압구정로데오),압구정동,3120202,11680545,POINT (127.04014176981212 37.52677436311498),37.52677436311498,127.04014176981212,349.59167257933785,43.3,15.3,47.5,29.0,25.5,26.7,22.4
압구정역,신사동,3120188,11680510,POINT (127.02808179145777 37.52546430778459),37.52546430778459,127.02808179145777,354.5059337460986,59.3,19.4,56.9,28.2,23.6,21.3,20.6
언북중학교,논현2동,3110957,11680531,POINT (127.03164249130684 37.51769278012581),37.51769278012581,127.03164249130684,152.56727726481714,59.3,19.4,56.9,28.2,23.6,21.3,20.6
언북초등학교,청담동,3110976,11680565,POINT (127.04557844536592 37.52179452589771),37.52179452589771,127.04557844536592,57.16235336315622,61.3,17.0,59.2,29.2,23.5,21.1,20.9
언주역 3번,논현2동,3110961,11680531,POINT (127.03425233624073 37.510915099501624),37.51091509950162,127.03425233624073,123.22543123086233,59.3,19.4,56.9,28.2,23.6,21.3,20.6
언주역 6번,역삼1동,3110965,11680640,POINT (127.03784824222151 37.506199182522934),37.50619918252293,127.03784824222151,93.58705648492149,59.3,19.4,56.9,28.2,23.6,21.3,20.6
언주역(차병원),논현2동,3120194,11680531,POINT (127.03402824590725 37.50739809113222),37.50739809113222,127.03402824590724,534.18362864528,59.3,19.4,56.9,28.2,23.6,21.3,20.6
역삼역,역삼1동,3120197,11680640,POINT (127.03595047837042 37.50040316752075),37.50040316752075,127.03595047837042,2408.802400003567,69.0,25.9,46.7,33.0,25.4,21.9,21.9
역삼역 8번,역삼1동,3110967,11680640,POINT (127.03815322058999 37.50456015256568),37.50456015256568,127.03815322059,47.0652825136546,59.3,19.4,56.9,28.2,23.6,21.3,20.6
영동대교남단교차로,청담동,3120214,11680565,POINT (127.05479316330397 37.524048020781834),37.52404802078184,127.05479316330396,240.87430173520661,61.3,17.0,59.2,29.2,23.5,21.1,20.9
윗방죽마을공원,세곡동,3110999,11680700,POINT (127.10388457944443 37.47158712619459),37.47158712619459,127.10388457944444,241.03538180228767,59.3,19.4,56.9,28.2,23.6,21.3,20.6
은마아파트,대치4동,3120219,11680630,POINT (127.06060193613291 37.49884858205018),37.49884858205018,127.06060193613293,706.4567614783078,59.3,19.4,56.9,28.2,23.6,21.3,20.6
청담사거리(청담동명품거리),청담동,3120208,11680565,POINT (127.04770516045544 37.524833591162256),37.524833591162256,127.04770516045544,526.942467567013,45.1,22.5,46.0,27.9,24.0,21.5,23.4
코엑스,삼성1동,3120218,11680580,POINT (127.05911127451093 37.512165811670926),37.512165811670926,127.05911127451093,152.99004471703742,59.3,19.4,56.9,28.2,23.6,21.3,20.6
포스코사거리,삼성2동,3120215,11680590,POINT (127.05626383298481 37.506825209236084),37.50682520923608,127.0562638329848,783.1746819583374,69.0,25.9,46.7,33.0,25.4,21.9,21.9
포이초등학교(개포목련어린이공원),개포4동,3110984,11680690,POINT (127.05212084695282 37.47380726659783),37.47380726659783,127.05212084695282,143.5424878911672,59.3,19.4,56.9,28.2,23.6,21.3,20.6
학동사거리,청담동,3120200,11680565,POINT (127.03914316356484 37.5230872979128),37.5230872979128,127.03914316356484,542.8604977103693,45.1,22.5,46.0,27.9,24.0,21.5,23.4
학동역,논현1동,3120191,11680521,POINT (127.03007661999689 37.51355962938717),37.51355962938717,127.03007661999688,643.9534660451743,59.3,19.4,56.9,28.2,23.6,21.3,20.6
한남IC,신사동,3110949,11680510,POINT (127.01924175620952 37.52089697963379),37.52089697963379,127.01924175620952,145.09635250371505,59.3,19.4,56.9,28.2,23.6,21.3,20.6
한티역,대치4동,3120212,11680630,POINT (127.05359750195835 37.49742518039499),37.49742518039499,127.05359750195836,255.13930197301931,59.3,19.4,56.9,28.2,23.6,21.3,20.6
휘문고교사거리,대치2동,3120223,11680610,POINT (127.0656664361873 37.50434267769047),37.50434267769047,127.0656664361873,30.608025224868598,59.3,19.4,56.9,28.2,23.6,21.3,20.6
