기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20221,A,골목상권,3110237,메가박스 상봉,CS300002,편의점,396003218,51622,289108369,106894849,49562959,62293938,54871026,53937019,68443427,58026479,48868370,37295108,37679702,52877081,47703745,125071628,95375954,231650071,126008141,2629163,94611364,115183072,55338195,59584419,30312001,36426,15196,7014,7279,7585,7581,6967,7940,7256,4346,6178,6398,7208,15842,11650,33038,18357,537,16098,16561,7863,6742,3597
20221,D,발달상권,3120069,상봉역,CS300002,편의점,872732483,124019,595323618,277408865,116035815,119988032,110305914,111359175,137634682,152706644,124702221,74173322,92676299,85020749,109168328,283156433,228537352,536373794,324120724,8835095,228229334,283656614,165997094,104641425,69134956,85004,39015,16839,16785,16109,16381,18890,21251,17764,8987,15791,15655,17376,39664,26546,77131,46219,1800,38060,41366,19892,13417,8816
20221,A,골목상권,3110289,북한산보국문역 2번,CS300002,편의점,269823255,38237,189217310,80605945,40947683,37697629,35530939,37143387,37897672,41369587,39236358,36430494,35083224,29743483,38548765,70842170,59175119,180794631,89028624,5900872,66203924,61286386,63295431,51902689,21233953,27078,11159,5676,5588,5286,5298,5230,5627,5532,4928,5298,4364,5387,10125,8135,24677,13560,1411,11069,8330,8004,6638,2785
20221,A,골목상권,3110410,방학역 2번,CS300002,편의점,774860719,107548,569456136,205404583,113254844,111640383,109052363,115959213,119549333,108459331,96945252,74604774,108568790,86321663,96602781,240135870,168626841,482410733,292449986,7434365,179415888,195486888,181363341,142027472,69132765,80529,27019,16021,15910,16242,16907,15449,14544,12475,9333,20528,12484,14106,31468,19629,67205,40343,2108,26732,28129,21940,18103,10536
20221,A,골목상권,3110352,수유1동주민센터,CS300002,편의점,370852083,47351,261506906,109345177,56468940,49464302,50421286,48784129,56368249,58646189,50698988,36556234,68644297,40162666,47031248,106663662,71793976,261380168,107130583,2859523,58871988,105697126,86575597,72396508,42110012,33674,13677,6960,6713,6448,6585,6968,7011,6666,3945,9885,6044,6423,12410,8644,32807,14300,820,8590,13151,10287,9235,5024
20221,A,골목상권,3110867,국제신학대학원대학교(남서울중학교),CS300002,편의점,655822585,88879,453103901,202718684,90405147,80028852,94553244,88237902,99878756,99409844,103308840,81094808,72126426,62548028,63666744,199107869,177278710,423833025,231989560,12764893,243014629,216820521,91436402,61926645,29859495,62121,26758,12479,11661,12598,12560,12823,12884,13874,10142,12220,9334,9707,25830,21646,57314,31565,3452,34180,26028,11044,9985,4190
20221,R,전통시장,3130159,공릉동 도깨비시장,CS300002,편의점,131104860,16347,95347414,35757446,23115624,17543646,17858364,17419133,19410647,19571179,16186267,11403332,19342657,13965567,16055349,41232817,29105138,94379665,36725195,198513,26641452,38087436,30512615,23972161,11692683,11384,4963,2627,2093,2169,2259,2236,2424,2539,1503,2357,1896,2062,4745,3784,11475,4872,69,4060,4863,3653,2415,1287
20221,D,발달상권,3120084,공릉역,CS300002,편의점,654091250,113224,472188103,181903147,101360437,89399977,91207210,91439464,98781015,97270469,84632678,51850077,103050991,68137291,80901571,202418086,147733234,435159973,216246687,9536659,200710894,179948983,111511527,100318373,49380225,82399,30825,17447,15701,16198,16403,16650,16650,14175,7285,21163,13601,15647,33404,22124,72660,40419,2577,39704,29381,17263,15761,8394
20221,A,골목상권,3110418,광운대학교 남단,CS300002,편의점,175734190,25025,119585662,56148528,26964287,23723259,22879392,22821205,23197519,28773460,27375068,23935903,26048631,18571936,19713143,45889880,41574697,113491250,62242940,3380273,39053620,51272784,39442050,32143445,10442018,17583,7442,3638,3656,3484,3490,3315,3703,3739,2878,4541,2980,3242,5991,5393,16347,8678,1163,6306,6825,4886,4384,1461
20221,D,발달상권,3120179,양재역,CS300002,편의점,2813650768,449096,2238380704,575270064,467468381,418602626,424971880,463444531,463893286,331090414,244179650,101492743,579293716,429095454,405850008,828340532,469578315,1750809534,838603587,29388159,507445112,796818547,614777221,443490645,197493439,362312,86784,73715,69153,69764,77132,72548,48674,38110,13139,115166,77875,67155,116772,58989,282537,145129,9030,96802,135877,94241,62080,29636
