기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20223,A,골목상권,3110515,홍은중학교,411849,187463,224386,58138,47661,52981,53938,71626,127504,129272,94218,41236,39747,54799,52577,58788,56977,56906,55972,56379,61394,65433
20223,A,골목상권,3110514,서대문우체국,758529,358081,400449,74583,374008,121647,64908,51701,71683,201268,157427,87279,82967,126769,102820,105890,106809,108114,107791,110209,111383,108333
20223,A,골목상권,3110513,연희파출소,254011,112231,141780,36919,51184,44670,41902,34890,44447,37456,49705,43047,41756,53234,28813,37465,38312,38720,37880,37660,33016,30959
20223,A,골목상권,3110512,연희지하차도,485640,229114,256526,59047,68486,69875,83764,88986,115482,135331,103791,53219,53686,74644,64969,68938,70296,70338,70094,69725,66993,69255
20223,A,골목상권,3110511,연희초등학교,885766,450068,435698,70274,389704,138646,87916,80081,119147,244807,187420,102058,96536,137521,117426,127245,129909,129705,128417,125178,120831,124481
20223,A,골목상권,3110510,홍연시장,926944,435498,491444,124766,122536,141069,152431,152074,234067,302385,204603,93243,87746,121261,117707,131325,130515,129368,129054,128680,136366,141636
20223,A,골목상권,3110509,연희대우아파트앞,935987,402035,533952,96541,333326,185539,119179,85420,115983,247408,188462,108318,116856,155509,119436,131507,129613,129551,133051,133377,140089,138802
20223,A,골목상권,3110508,서연중학교,481372,212756,268615,50853,114360,92438,83553,62156,78010,110046,94593,64012,64665,89055,58999,67291,67739,68213,68994,69028,70547,69560
20223,A,골목상권,3110507,명지대학교,1662193,749977,912216,261214,371556,227383,242623,230456,328960,412966,326855,203212,207933,291531,219697,241234,245229,241747,241628,232038,230906,229410
20223,A,골목상권,3110506,연희임광아파트,265414,122228,143186,24965,63685,56033,39751,31528,49451,55386,55214,36207,36927,50089,31591,36924,37403,37106,37655,37718,39526,39080
20223,A,골목상권,3110505,홍남교남측,62348,28006,34342,7518,8789,10280,11307,10312,14143,11631,13971,8027,8885,12077,7755,8658,8539,8520,8493,8396,9514,10227
