기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20233,A,골목상권,3110492,하나고등학교,11839,5332,6507,2445,1785,2007,1999,1545,2058,2004,2513,1699,1866,2385,1374,1687,1663,1660,1623,1638,1779,1788
20233,A,골목상권,3110491,불광중학교,62218,27236,34982,11801,5969,6736,9265,10307,18138,19299,13379,6377,5951,8948,8263,8385,8760,8541,8783,8946,9426,9375
20233,A,골목상권,3110490,녹번동근린공원,566909,246371,320537,70711,80826,89022,90706,92182,143461,170731,119202,59696,58936,82379,75965,81732,81114,80543,80437,79577,79339,84166
20233,A,골목상권,3110489,불광역 3번,485858,213984,271875,37602,79985,87967,74603,84488,121212,123901,101626,56474,57976,81021,64862,70687,69390,69406,69399,68915,68689,69374
20233,A,골목상권,3110488,우리은행응암동지점,378238,165924,212314,57941,48127,61277,67446,60685,82762,78219,76102,48390,48826,76782,49917,53984,52783,52656,52391,52672,55411,58338
20233,A,골목상권,3110487,불광역 8번,136156,57807,78351,13340,21159,20192,18340,22018,41107,20816,24899,21121,23405,30784,15132,19280,18982,19270,19126,19067,20485,19946
20233,A,골목상권,3110486,은평구청,656516,291993,364523,106863,89430,104924,113119,102642,139539,158143,126640,78202,81434,121380,90718,96924,96104,96486,95437,95298,89034,87231
20233,A,골목상권,3110485,연신내우체국,458754,204833,253920,64469,58909,60836,62873,77349,134317,143919,96438,46375,44430,64420,63171,63394,66084,65651,65952,64476,65738,67458
20233,A,골목상권,3110484,역촌역 3번,1499630,652708,846921,176461,209492,240890,217278,242863,412647,453949,310788,155769,150610,224316,204198,210453,209218,206584,208587,209188,222013,233587
20233,A,골목상권,3110483,연천초등학교,614060,285927,328134,84529,79635,85317,88310,93718,182550,208964,127359,57083,53588,80684,86381,87630,87253,86460,86004,86250,89131,91332
20233,A,골목상권,3110482,연신초등학교,358163,161680,196484,57437,42368,45282,53396,61146,98534,110021,75442,35709,33161,52311,51520,51357,50938,50738,51468,50925,50475,52263
20233,A,골목상권,3110481,불광역 7번,3432912,1517775,1915138,487794,481588,649807,561631,496654,755440,1019013,717795,356190,354059,521050,464805,490264,488691,485753,484949,478967,494901,509385
20233,A,골목상권,3110480,연신내역 3번,254499,117517,136982,31345,37741,38271,33644,41200,72301,62315,51175,30591,32567,45077,32775,35906,35511,35132,35057,34885,38074,39933
20233,A,골목상권,3110479,연신내역 2번,1158932,533912,625021,163513,133429,151975,176007,189739,344269,308460,238517,133240,135385,191566,151764,162723,160587,159003,162606,162387,172707,178919
20233,A,골목상권,3110478,응암1동주민센터,300506,132039,168467,45990,34404,42225,53955,47527,76406,85622,59241,31296,32198,49227,42923,43391,42285,42200,41987,42118,42940,45585
20233,A,골목상권,3110477,은평세무서,388542,171627,216914,59345,49042,53492,65868,64238,96558,89843,78828,50880,50773,70529,47689,55458,55176,54860,54699,54842,55768,57738
20233,A,골목상권,3110476,역촌역 2번,136078,65804,70274,14195,16072,19832,20927,28086,36965,27546,24448,16320,17819,28992,20953,19226,19192,19289,18973,19513,20147,19737
20233,A,골목상권,3110475,백련산해모로아파트,610099,268930,341170,124992,58970,92905,112760,85961,134513,200476,125211,57635,54727,85517,86534,87887,85503,85099,85323,84856,88029,93403
20233,A,골목상권,3110474,세명컴퓨터고등학교,905678,431812,473865,115827,144909,146623,129054,139208,230059,274437,188372,91550,88915,135254,127149,128863,126901,126810,125683,125274,132360,139786
20233,A,골목상권,3110473,구산역 1번,1783645,774299,1009344,285009,229213,264601,285312,273920,445590,491070,367621,202045,197836,290650,234423,252962,251673,250731,249712,250338,261213,267017
20233,A,골목상권,3110472,연신내역 4번,1573945,695182,878764,167142,305857,260565,226905,234162,379315,412399,312382,178105,180585,278976,211497,220863,220493,220353,218698,220807,236851,235883
20233,A,골목상권,3110471,응암동우체국,1463740,655332,808409,257018,141159,236431,292825,200274,336035,490899,307058,133428,125675,198494,208188,206626,209184,205254,206491,204820,210441,220926
20233,A,골목상권,3110470,신진과학기술고등학교,622242,266787,355456,126232,67372,106759,114240,79656,127986,173759,125277,68084,68090,103178,83858,87836,87215,86716,86580,85687,91967,96241
20233,A,골목상권,3110469,응암정보도서관,1642116,750864,891252,257015,218936,214660,247680,263294,440529,450701,338181,192156,184895,261673,214509,231224,233801,230378,231190,229448,236964,249110
20233,A,골목상권,3110468,응암역 3번,3188055,1396737,1791318,434508,428078,540802,558239,513183,713245,882513,623221,346551,360181,546264,429325,448976,442352,443751,443570,445619,483860,479929
20233,A,골목상권,3110467,은평요양병원,499061,234653,264408,54574,70377,79020,77835,81438,135818,116542,99859,61882,63711,93074,63995,69368,68007,68315,68641,68728,76332,79670
20233,A,골목상권,3110466,구산역 2번,1011840,456754,555085,139592,138113,158714,153575,167330,254515,309881,206779,103875,101186,152520,137599,143153,142347,141533,141379,141182,148108,154137
20233,A,골목상권,3110465,연신내역 7번,1420252,653417,766836,198694,245469,218802,210517,207176,339595,307189,271979,175720,190958,281936,192470,203612,201673,203700,201361,204366,206849,198691
20233,A,골목상권,3110464,연신내역 5번,456726,204491,252235,73306,84605,67053,68521,69460,93781,129904,88379,46944,46655,77595,67248,63817,62963,63796,63919,65550,68512,68169
20233,A,골목상권,3110463,응암3동주민센터,682708,306121,376586,78387,90608,109498,110022,105820,188371,153613,136075,79498,82991,131381,99149,97582,98099,97937,96923,96977,97314,97877
20233,A,골목상권,3110462,갈현건영아파트,570715,244828,325887,51368,79174,88447,76204,97621,177899,186875,123140,56509,52243,76222,75726,80832,80118,77304,78303,77775,84259,92126
20233,A,골목상권,3110461,새절역 2번,247885,113631,134253,24971,34209,38091,40098,40266,70251,37389,50013,35603,37885,55531,31464,35635,35792,36381,35650,35735,34840,33851
20233,A,골목상권,3110460,구산역 4번,1536131,666518,869613,224371,217153,210652,255590,239875,388491,434779,307498,162593,169375,255923,205963,217094,216431,213094,211648,214276,228107,235480
20233,A,골목상권,3110459,응암역 2번,1059787,471539,588248,183993,145109,144385,172834,162847,250619,263641,210261,122459,128114,191812,143498,150701,148555,148593,148176,148033,153508,162220
20233,A,골목상권,3110458,선일여고,958016,447954,510063,210670,120427,133610,146036,138346,208927,268500,206607,107703,103724,145118,126363,138428,138721,137482,136556,134918,132548,139364
20233,A,골목상권,3110457,예일여고,714496,301950,412547,135371,93351,97494,104326,114894,169064,198483,149098,79575,77876,112655,96811,102412,101586,101214,101026,102346,102638,103277
20233,A,골목상권,3110456,구산보건지소,1547673,643502,904170,334000,205965,199102,232343,224153,352110,458436,332897,171962,160707,225074,198597,218653,218727,217226,217364,216362,222118,237222
20233,A,골목상권,3110455,역촌노인복지관,1622663,716236,906428,336440,203284,196906,259350,243575,383110,509600,334859,160821,153782,238522,225080,230749,229046,226848,227934,225955,235819,246314
20233,A,골목상권,3110454,선정중학교,1298152,575618,722534,270257,156651,171414,217831,181694,300306,421603,287139,127430,111514,169356,181109,188538,187360,184296,185962,182581,179532,189885
20233,A,골목상권,3110453,신사1동주민센터,1766614,783319,983295,243267,248486,287642,288592,263130,435495,547254,357195,168330,168429,270450,254959,250269,249440,247842,248200,248636,258857,263370
20233,A,골목상권,3110452,새절역 3번,750621,348648,401973,105427,98802,110431,114584,114589,206788,178392,155358,90861,92203,137250,96557,106897,105433,105535,105636,105761,109078,112280
20233,A,골목상권,3110451,증산역 4번,1062486,486608,575879,133776,144384,161316,152467,169779,300764,324398,223531,105610,100941,158445,149561,150939,148831,146926,149774,147886,155574,162558
20233,A,골목상권,3110450,시립서북병원,1622868,729736,893133,329791,188469,208549,250134,255210,390714,481936,347338,165515,170196,240483,217403,229380,228384,227789,227313,225474,236072,248457
20233,A,골목상권,3110449,증산역 3번,845969,367140,478830,127229,101241,122148,135579,133889,225885,260822,177302,86666,83538,123284,114358,121003,120503,119016,119918,117883,121950,125694
20233,A,골목상권,3110448,상신초등학교입구,413121,185637,227484,57839,44894,63807,71270,63887,111424,104382,79645,43687,50907,78731,55767,55099,54947,54028,54323,54730,67155,72839
20233,A,골목상권,3110447,구산초등학교,492245,209053,283192,82451,51012,57559,74608,77436,149178,140000,95385,48694,53671,84296,70198,67857,67478,66989,67389,67055,75602,79873
20233,A,골목상권,3110446,내를건너서숲으로도서관,124309,61208,63100,25155,10889,17094,20043,20490,30639,30439,27027,16363,16333,19907,14237,18152,18075,17284,17118,17119,17632,18930
20233,A,골목상권,3110445,덕산중학교,484336,226239,258097,91795,51750,71749,74086,72771,122185,152496,102428,49774,47480,68627,63531,68142,66706,66076,66896,66824,72129,77563
20233,A,골목상권,3110444,수색성당,217851,98848,119002,28810,25303,39218,36994,36230,51293,59534,45688,22844,23451,36290,30045,30528,30493,30014,30599,30255,32294,33670
20233,A,골목상권,3110443,수색역 1번,139211,66839,72372,18097,16756,25308,26482,25393,27175,36854,29858,16617,15842,21878,18161,19696,19442,19531,19763,19475,20599,20705
20233,A,골목상권,3110442,화랑대철도공원,120002,51664,68338,33196,17104,9609,20235,16209,23650,24504,26373,18132,17646,21290,12058,16367,16554,16217,16092,15850,18633,20287
20233,A,골목상권,3110441,영신여고,715220,320285,394937,218864,72983,55378,132459,123136,112401,173072,145951,92269,92604,125691,85636,100175,99250,99172,98972,97933,107133,112585
20233,A,골목상권,3110440,상계3동4동주민센터,278893,128921,149971,29485,29255,29769,39423,53486,97477,63352,57674,34818,38626,50401,34021,38978,39599,39490,39870,38961,40942,41054
20233,A,골목상권,3110439,당고개역 5번,1020308,480736,539572,102236,114630,115744,144060,192203,351434,321193,211751,100267,95457,149305,142335,143364,144354,142614,142716,143337,150058,153864
20233,A,골목상권,3110438,경춘선숲길 우측,1491563,755028,736536,212098,418271,187007,181082,179640,313465,392999,293568,167267,171643,262284,203802,211931,212143,211073,209650,208036,217579,221150
20233,A,골목상권,3110437,당고개역 2번,1156349,537912,618437,147598,113905,129693,173611,212950,378593,191686,227011,159159,173022,256690,148781,164785,160765,158407,158552,158219,174339,181282
20233,A,골목상권,3110436,상계제일중학교,479510,220939,258570,95516,51128,43259,71271,79957,138379,141206,93515,51828,51539,74163,67258,68422,68099,68165,67596,67611,69706,69911
20233,A,골목상권,3110435,서울과학기술대,96951,49259,47692,15154,24002,13364,12765,12619,19048,27760,20244,11055,10581,14231,13079,14237,14500,14389,14219,13774,12631,13201
20233,A,골목상권,3110434,태릉입구역 4번,496393,228016,268378,58716,113321,71430,63379,68385,121160,140951,102871,53288,52945,81055,65284,71149,69661,70076,70153,69642,71708,74004
20233,A,골목상권,3110433,공릉역 2번,1330840,663890,666950,179788,392540,173484,157122,153253,274653,438431,270418,125346,118242,191332,187072,188693,188881,186987,185887,186204,193881,200305
20233,A,골목상권,3110432,대진고등학교,430464,207165,223300,74426,88481,47138,60977,67238,92204,102926,89803,61561,59460,69720,46995,61890,61876,62662,61382,59691,60895,62066
20233,A,골목상권,3110431,상계역,494396,227756,266639,80490,61469,53449,73400,87302,138285,69813,86018,73018,82182,124833,58532,67018,67108,67063,67239,67839,79381,78747
20233,A,골목상권,3110430,중계초등학교,90387,41151,49236,17187,8314,8126,13746,15068,27945,13998,17016,14283,15054,19991,10044,12935,12737,12878,12982,12848,13302,12703
20233,A,골목상권,3110429,공릉동 국수거리,2016679,951364,1065315,280721,331319,289037,308483,308129,498989,492434,412152,243845,247922,357269,263056,286911,286441,286002,285124,286196,293087,292917
20233,A,골목상권,3110428,상계5동주민센터,3490847,1557952,1932896,529707,405060,400950,474358,580309,1100464,1061530,698616,351139,354948,539287,485327,492062,489007,484141,485978,488290,512708,538663
20233,A,골목상권,3110427,노원 을지대학교병원,104594,47294,57299,15465,15937,13668,14925,18423,26175,20171,21519,15678,16378,19360,11489,15139,14996,15282,15161,14614,14841,14562
20233,A,골목상권,3110426,상계2동주민센터,1589500,707318,882182,262832,198751,176328,217921,278012,455655,399578,314287,185801,194175,287891,207767,218860,217803,216306,218690,218668,243191,255983
20233,A,골목상권,3110425,계상초등학교,805262,365899,439362,108135,89531,83337,117721,149019,257517,158945,154695,109175,118803,165687,97957,111577,109398,111316,112164,112377,122277,126153
20233,A,골목상권,3110424,상계초등학교,2295760,1037530,1258231,342562,288330,269543,305816,394375,695133,620018,478112,265109,264304,370300,297918,324175,322642,323267,323008,321679,336449,344537
20233,A,골목상권,3110423,석계역 2번,295368,141400,153968,38784,46632,40647,45270,43440,80595,64495,56886,35035,39173,60250,39530,41359,40778,40683,41024,41436,45160,44930
20233,A,골목상권,3110422,노원역 9번,859342,395485,463858,139047,132308,116610,124669,141065,205642,192123,165292,111763,115414,164727,110020,120061,120191,120653,119963,121514,128198,128763
20233,A,골목상권,3110421,석계역 1번,358767,174326,184441,44550,60883,44770,55605,50759,102201,72695,67198,44464,49839,77054,47519,49890,50497,50106,50131,50884,54445,52814
20233,A,골목상권,3110420,광운대역 1번,466627,248360,218267,77692,124044,51984,58509,55413,98984,101763,94804,62143,62540,86404,58971,67971,68114,67726,66544,65196,64625,66449
20233,A,골목상권,3110419,수락산디자인거리,843839,400752,443087,132919,84853,87735,114294,159275,264765,177714,165712,112256,113420,166833,107903,117656,117321,116300,117070,115770,127641,132081
20233,A,골목상권,3110418,광운대학교 남단,803360,445005,358355,164662,229999,95146,94189,79258,140105,197101,172628,113566,104291,121842,93930,121251,123030,122767,118001,113234,102075,103001
20233,A,골목상권,3110417,월계역 3번,386805,182739,204066,69139,61896,50697,56327,54070,94674,144825,83728,30028,26628,44759,56837,55934,56025,55755,55086,54169,53610,56226
20233,A,골목상권,3110416,노원초등학교,903699,415226,488473,177442,92295,101435,121836,138970,271721,185879,169136,124715,132427,183643,107896,124108,123231,122527,125133,124233,139489,144979
20233,A,골목상권,3110415,수락산역 4번,1970098,927242,1042855,312041,221281,242026,283720,319316,591712,495729,389822,233849,243624,354497,252576,271424,271140,271090,271767,272254,299534,312888
20233,A,골목상권,3110414,장석교회,232575,110322,122254,49907,25366,31829,37182,33631,54659,58255,46549,27209,28562,40972,31027,32917,32678,33011,32793,32797,33440,34937
20233,A,골목상권,3110413,누원고등학교,94149,44409,49740,15928,9447,11108,12472,15364,29831,20414,18256,12408,13253,18866,10952,13249,13092,13083,13227,13527,14094,13879
20233,A,골목상권,3110412,창동중학교,147592,69610,77982,31360,15467,18053,21322,24631,36757,31955,31544,19718,19598,26322,18455,20791,20796,20855,20808,20660,21530,22156
20233,A,골목상권,3110411,도봉역 3번,559399,276905,282494,66512,58101,76898,83815,94736,179337,124472,115850,70865,71602,104242,72368,79760,78634,78948,79360,78918,80048,83731
20233,A,골목상권,3110410,방학역 2번,652390,314697,337693,93203,84303,89191,100675,108788,176231,124735,126744,91365,97228,133614,78704,93514,92186,92961,92359,92201,94331,94839
20233,A,골목상권,3110409,창동역 2번,565940,251280,314660,89334,66958,79625,82862,94508,152650,117705,108899,72759,80659,117252,68667,77737,76784,76724,77151,77272,89518,90753
20233,A,골목상권,3110408,가인초등학교,363175,160858,202317,56325,45388,52464,50296,58732,99970,72854,72449,48615,51811,73108,44339,49691,49195,49058,49167,49258,56764,60043
20233,A,골목상권,3110407,도봉역 2번,1073247,524473,548774,104813,110661,126376,151444,188526,391428,301487,223492,119905,121080,168910,138371,150847,152062,150014,151804,150925,156035,161560
20233,A,골목상권,3110406,도봉산역 1번,187401,93207,94195,21947,17204,19185,23068,32993,73006,38806,42242,23511,25335,35450,22057,25272,25688,26039,25849,25820,28831,29903
20233,A,골목상권,3110405,방학역 1번,1426862,687677,739185,146172,163181,168261,197520,269476,482251,388851,285871,159065,161894,239391,191789,201909,200153,198299,199503,198859,209017,219122
20233,A,골목상권,3110404,신창초등학교,3366641,1560909,1805732,533895,377749,356220,538003,599167,961607,1039483,692283,339651,327602,496539,471082,474597,473462,469412,473786,472503,487637,515243
20233,A,골목상권,3110403,방학1동주민센터,1251342,579752,671590,136498,142501,157750,192489,241256,380846,319217,244486,146938,159217,221134,160350,173544,172930,172150,173434,173897,192481,192905
20233,A,골목상권,3110402,도봉구 정병원,651683,313317,338365,78107,73744,83941,95373,126638,193877,152659,133818,80547,83792,116972,83895,91067,90543,90184,90476,91148,97986,100279
20233,A,골목상권,3110401,도봉구민회관,158725,71514,87212,26136,19764,23855,22791,24463,41715,30464,31991,21331,21943,32561,20436,22647,22247,22263,22080,22175,23168,24146
20233,A,골목상권,3110400,도봉구보건소,1278784,595606,683178,171297,164309,183852,183807,215742,359774,320558,263944,155390,157872,216734,164286,181175,181269,180034,181374,181583,185616,187736
20233,A,골목상권,3110399,창2동주민센터,1825425,857274,968151,304119,240155,270385,278628,275785,456352,561023,384229,185029,177973,268597,248575,258801,257295,254693,258719,255501,263935,276482
20233,A,골목상권,3110398,쌍문2동우체국,867785,391842,475943,146303,105018,118575,126207,134265,237416,234257,170603,98627,100970,147393,115935,123665,122969,122389,122181,122664,126914,127001
20233,A,골목상권,3110397,도봉산입구,1465791,713217,752574,182868,139918,155927,188816,253777,544486,383893,298177,173261,178750,242736,188973,204637,202319,202113,205937,205019,216978,228787
20233,A,골목상권,3110396,쌍문역1번(쌍리단길),900805,418074,482732,111880,124826,138327,122908,151698,251166,231507,196473,109327,105869,144708,112922,128502,127506,128081,126950,127826,127270,134670
20233,A,골목상권,3110395,신한은행 방학동지점,350158,160712,189444,50342,36353,43645,47050,63759,109007,91662,67443,39486,41030,61348,49187,49482,49450,49450,50223,49948,50748,50858
20233,A,골목상권,3110394,방학중학교,1108758,548190,560569,117177,113496,122162,169503,214458,371963,292177,216913,125690,130742,192134,151105,156272,154773,153734,156783,154192,165447,167558
