기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20221,R,전통시장,3130311,새마을시장,2763094.0,6.0,1704471877.0,471389353.0,205922489.0,127451802.0,224056245.0,274527376.0,57949370.0,55487678.0,213826928.0,73860636.0
20221,R,전통시장,3130312,석촌시장,2546547.0,6.0,728655686.0,177992730.0,90793568.0,56757793.0,87145883.0,126397797.0,29914285.0,21890529.0,106142334.0,31620767.0
20221,R,전통시장,3130313,방이시장,2670550.0,6.0,2956881150.0,733496973.0,359876526.0,217222973.0,360918695.0,511473630.0,110251855.0,88274991.0,448447682.0,126917825.0
20221,R,전통시장,3130314,풍납시장,2434815.0,5.0,1463840744.0,487521055.0,163365851.0,102435153.0,232426856.0,185618590.0,42265493.0,50645537.0,142936305.0,56625904.0
20221,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),2409413.0,5.0,742171515.0,178819801.0,91126032.0,57351261.0,89684031.0,128572974.0,31448096.0,21507100.0,112524389.0,31137831.0
20221,R,전통시장,3130316,마천시장,2300423.0,5.0,41718696.0,14220497.0,4614224.0,2729490.0,6959846.0,5298999.0,1187153.0,1367314.0,3774177.0,1566996.0
20221,R,전통시장,3130317,마천중앙시장,2294091.0,5.0,443911997.0,130210918.0,52046299.0,30917335.0,65431485.0,67670901.0,15436780.0,13598928.0,50679265.0,17920086.0
20221,R,전통시장,3130318,로데오거리상점가,3397303.0,7.0,329927191.0,71236091.0,41239964.0,30424055.0,34104070.0,57516482.0,17060277.0,9890450.0,55238127.0,13217675.0
20221,R,전통시장,3130319,성내전통시장,2375070.0,5.0,541910305.0,157473780.0,65642451.0,41956959.0,76221418.0,82748796.0,21475300.0,17904832.0,56093899.0,22392870.0
20221,R,전통시장,3130320,암사종합시장,2532248.0,6.0,472182422.0,115543340.0,58589429.0,34326995.0,57825472.0,81593486.0,19627627.0,13775516.0,71015657.0,19884900.0
20221,R,전통시장,3130321,장신구 특화거리 상점가,2838891.0,6.0,746197588.0,192573814.0,91214957.0,53930233.0,94381501.0,126170473.0,28330814.0,22544492.0,105118864.0,31932440.0
20221,R,전통시장,3130322,고분다리전통시장,2019329.0,4.0,587462046.0,172243693.0,69597270.0,43277815.0,85080762.0,91077774.0,19285117.0,18928962.0,62880069.0,25090584.0
20221,R,전통시장,3130323,둔촌역전통시장,2608832.0,6.0,764962470.0,212600940.0,92152548.0,54122662.0,106063523.0,123129274.0,27978245.0,23322734.0,93777790.0,31814754.0
20221,R,전통시장,3130324,길동복조리시장,2554325.0,6.0,595074220.0,151696675.0,73524317.0,44501832.0,76430248.0,99564788.0,26099940.0,17397781.0,81409740.0,24448899.0
