기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20211,D,발달상권,3120212,한티역,CS300002,편의점,1134138244,243729,798242553,335895691,144412604,162668873,165541450,157325553,168294073,186236801,149658890,49173803,157269117,173971770,183092754,334233207,236397593,683058907,419910882,111456230,194805580,181113646,345142550,224905491,45546294,175345,68384,33870,35766,36996,33800,34913,37530,30854,7399,37412,43073,41956,74520,39369,137654,103503,34918,46680,35283,69628,47190,7462,204740,444220,11680,강남구,11680630,대치4동,112734,975517,457559,517957,334839,96930,96344,203364,129483,114555,145450,171201,149591,171621,225974,111680,135191,138601,139161,136927,135399,150503,139734,1483,713,770,271,240,150,288,289,245,141,110,71,126,152,113,130,130,79,162,137,132,683,0,683,753,394,359,1,118,182,201,143,108,1,37,87,119,80,70,0,81,95,82,63,38,4127153.0,8.0,1067199535.0,243618363.0,132904894.0,74723901.0,116662603.0,174989831.0,42378327.0,30287874.0,206090368.0,45543374.0
20211,D,발달상권,3120219,은마아파트,CS300002,편의점,3865821806,817947,2667710097,1198111709,497347363,525806376,569744334,512389580,562422444,612410699,585701010,222560783,537963665,565018043,602709376,1126781460,810788479,2524964326,1332043896,247588684,706422263,553694487,1045307264,1072952082,231043443,562422,255525,109081,112821,119383,103626,117511,130178,125347,37789,111831,138955,139533,242931,146908,495948,320666,95854,161774,106476,224334,193886,34288,205359,444378,11680,강남구,11680630,대치4동,149660,1096105,546861,549243,418572,111807,98513,199675,139565,127973,191251,193633,156901,182261,250100,121960,152769,152911,154062,151098,151031,172958,161276,1101,557,544,225,169,92,250,189,176,137,90,41,111,99,79,88,79,51,139,90,97,436,0,436,17175,5797,11378,202,3397,3819,3179,4061,2517,83,1254,1872,1374,818,396,119,2143,1947,1805,3243,2121,5082667.0,9.0,827566344.0,186943146.0,103101703.0,58182704.0,91503748.0,141790421.0,34494221.0,22795703.0,153676949.0,35077749.0
20211,D,발달상권,3120192,뱅뱅사거리,CS300002,편의점,5988796084,895452,4659544753,1329251331,913215989,955983071,941614126,859983137,988748430,749111361,580139970,479484898,920855499,877595128,837243543,1563203710,1310413306,3623483454,1953708956,36789522,1302156264,1876043699,1284288799,780217049,297697074,718708,176744,143512,149294,149765,133274,142863,96850,79894,56805,180517,162699,132416,216251,146764,558751,302826,12473,218071,282448,189971,114299,44311,202785,443423,11680,강남구,11680640,역삼1동,317600,2329412,1194014,1135397,198338,440586,613118,477666,294087,305619,412859,506964,392661,385152,403147,228629,370241,379714,375627,363245,344583,254177,241826,6623,3041,3582,509,1616,2037,1095,647,719,250,618,966,536,332,339,259,998,1071,559,315,380,4718,0,4718,27363,18865,8498,72,5748,8234,6678,4352,2279,37,3275,5587,5090,3174,1702,35,2473,2647,1588,1178,577,4243697.0,8.0,3473998985.0,775132929.0,447504051.0,299824965.0,368323842.0,581284915.0,167186468.0,112849645.0,570086330.0,151805840.0
20211,D,발달상권,3120190,강남을지병원,CS300002,편의점,3240742893,466270,2565297550,675445343,503286919,511222211,536101816,480854581,533832023,395531491,279913852,258898514,531578455,612913031,456347787,765008274,615996832,1884571749,1064079805,9536773,721041155,1041177148,704629910,352569677,119696890,384704,81566,75751,78885,81493,73735,74840,46397,35169,27019,104526,108101,68640,97666,60318,268328,173929,2493,128187,153779,89363,51194,17238,202498,446725,11680,강남구,11680545,압구정동,295195,1416390,696255,720135,102465,296257,381478,294748,158226,183216,228882,282441,251111,259207,266165,128584,217985,230520,228395,220969,212131,165067,141324,2366,1063,1303,254,457,495,423,288,449,129,182,233,182,142,195,125,275,262,241,146,254,1367,0,1367,11725,6199,5526,44,3417,3232,2506,1512,1014,14,1228,1650,1567,988,752,30,2189,1582,939,524,262,3360098.0,7.0,1867827087.0,433101939.0,233668445.0,152366048.0,208092323.0,328309517.0,80296880.0,57019975.0,294713159.0,80258801.0
20211,D,발달상권,3120200,학동사거리,CS300002,편의점,3125206188,406879,2321339511,803866677,451074867,468346224,479345538,439187383,483385499,460179053,343687624,178098052,555412132,525681838,514020231,875883129,476110806,1834149386,931595941,12820145,665763356,907354247,618788600,345103079,215915901,314232,92647,60225,65105,66102,59754,63046,52744,39903,18146,83949,84763,70531,100042,49448,242917,143759,2396,111845,131276,73656,42165,25339,203460,447067,11680,강남구,11680565,청담동,266597,1306735,615298,691435,89353,311305,362624,245326,146459,151667,146098,236391,257886,270441,289688,106232,186340,206003,207408,200513,196031,174721,135719,976,427,549,88,166,208,160,125,229,48,59,79,77,62,102,40,107,129,83,63,127,565,0,565,9363,3808,5555,26,2868,3075,1848,1005,541,9,654,1122,937,687,399,17,2214,1953,911,318,142,3402858.0,7.0,1006064987.0,234042223.0,125570404.0,82627365.0,114846472.0,179655969.0,42601111.0,30605275.0,152498700.0,43617468.0
20211,D,발달상권,3120186,가로수길,CS300002,편의점,1253510761,216877,955761413,297749348,173230304,193268044,197959176,179706542,211597347,174559619,123189729,66043755,197520344,214350582,219855417,326323697,229416966,686967308,439088438,25692315,396420212,359890588,183378434,128028376,32645823,166208,50669,31700,33864,34948,31747,33949,28517,22152,7813,41971,44061,40431,53830,28771,118515,88206,8102,82023,62221,28356,20703,5322,201996,446810,11680,강남구,11680510,신사동,256688,2382999,1093141,1289857,259262,539642,556535,418521,267995,341046,327462,420189,410545,455833,545777,223193,348224,364452,365415,358770,352911,317765,275464,3152,1382,1770,378,495,607,589,437,646,180,198,257,261,227,259,198,297,350,328,210,387,1777,0,1777,6518,3580,2938,19,1316,2133,1570,895,585,5,447,1174,950,573,431,14,869,959,620,322,154,3602514.0,7.0,2489687551.0,589883506.0,309226730.0,199643898.0,284332831.0,434636261.0,102125919.0,76064185.0,386594435.0,107179786.0
20211,D,발달상권,3120204,르네상스호텔사거리,CS300002,편의점,1712550146,245883,1394520426,318029720,258380897,296795688,295850280,242826035,300667526,185335672,132694048,185035957,235115705,266274003,237369384,401422791,387332306,1073554996,587178046,4340374,473964202,498228578,340677309,273466668,70055914,208924,36959,41416,43581,43980,37672,42275,21224,15735,18126,49804,50325,39572,52079,35977,158182,83119,925,71274,71329,56199,32558,9018,203786,444848,11680,강남구,11680640,역삼1동,160960,1747214,918578,828636,143548,303648,445527,374378,242448,237666,212407,382852,343285,341547,324788,142333,286892,302087,298022,285711,267233,167657,139612,1595,712,883,107,316,509,318,182,163,53,116,235,151,81,76,54,200,274,167,101,87,1127,0,1127,41471,20644,20827,102,8167,11056,10671,10081,1394,54,5016,7567,4988,2062,957,48,3151,3489,5683,8019,437,3950805.0,8.0,1790026304.0,354137379.0,217919661.0,155205039.0,174329144.0,308034810.0,88538680.0,49387756.0,374178020.0,68295815.0
20211,A,골목상권,3110965,언주역 6번,CS300002,편의점,554082619,69659,424127643,129954976,80494339,84232445,86619710,78900277,93880872,68716627,61238349,62101570,72557094,75795168,85477304,138515818,119635665,340761276,188723341,745096,100078481,187325684,154665153,71554797,15115405,55483,14176,11341,11415,11385,9991,11351,7526,6650,5911,12969,12641,10659,15445,12034,45881,22365,251,14996,22703,18577,9114,2604,203346,445193,11680,강남구,11680640,역삼1동,65108,856519,433290,423229,47329,188378,256268,175621,93901,95021,174918,185224,131757,128820,142251,93549,130367,134035,132840,130042,124757,103445,101034,2245,1052,1193,160,455,691,392,234,313,76,196,330,184,136,130,84,259,361,208,98,183,1500,0,1500,1139,788,351,1,174,379,378,142,65,1,104,276,284,74,49,0,70,103,94,68,16,3218797.0,7.0,1570369626.0,384884388.0,197558896.0,131647118.0,173223525.0,273184829.0,59808544.0,53455283.0,225809445.0,70797598.0
20211,A,골목상권,3110981,국악고교사거리,CS300002,편의점,879871101,121580,654591344,225279757,121004976,133948028,146507977,110901697,142228666,129646002,95633755,89328369,132615842,112238086,121844507,239666796,184177501,622044878,241560424,14493883,125957443,227742999,217514884,207437252,70458840,92576,29004,17722,19088,19668,16670,19428,15990,13014,11252,21719,17737,19383,29393,22096,83167,36842,3720,21527,30287,30668,24895,8912,204328,441797,11680,강남구,11680690,개포4동,67409,448677,223585,225092,67589,58018,82568,83035,75676,81793,101850,87651,60672,58999,81717,57788,65910,66667,66154,65114,64166,61018,59649,2118,1057,1061,303,333,373,344,391,374,162,185,183,168,189,170,141,148,190,176,202,204,907,0,907,361,216,145,2,57,77,110,81,34,0,27,36,72,56,25,2,30,41,38,25,9,3081543.0,7.0,895864770.0,207906896.0,111935813.0,67391314.0,103996115.0,160762137.0,37681337.0,25976200.0,141540050.0,38674908.0
20211,D,발달상권,3120198,구역삼세무서,CS300002,편의점,2946982777,424836,2256033017,690949760,460780877,448781176,469601535,399365004,477504425,373403528,317546232,321163052,464603684,438176030,359197437,759748629,604093945,1891332574,969419709,14481059,708143230,1044000550,667330130,295198898,131598417,338721,86115,68602,69541,71487,61986,67105,45406,40709,36134,86512,78153,58491,99170,66376,260416,156909,3385,122567,149082,84270,41244,16775,203290,444009,11680,강남구,11680640,역삼1동,291470,2596449,1371982,1224465,170437,590709,735383,491402,282278,326240,545993,550935,400228,394995,431329,272968,402656,413651,408365,398590,378956,297929,296301,7376,3813,3563,479,1410,1908,1355,980,1244,248,673,1017,733,547,595,231,737,891,622,433,649,5072,0,5072,11531,7246,4285,23,2691,3529,2889,1562,837,12,1141,2216,2115,1139,623,11,1550,1313,774,423,214,3332219.0,7.0,3913260246.0,952094191.0,500629491.0,324229415.0,444550986.0,664166108.0,160375193.0,131875037.0,556902399.0,178437426.0
