기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,A,골목상권,3111085,묘곡초등학교(고덕아이파크아파트),CS300002,편의점,1011985484,157511,746033670,265951814,140451586,152957202,139881695,142330473,170412714,142249624,123702190,120136888,201425184,114917268,145223463,239220304,191062377,734120852,277864632,31455361,109480787,232157419,308155448,254538962,76197507,115223,42288,22803,24432,22108,23065,22815,22095,20193,16092,32641,19423,22815,38655,27885,109034,48477,9071,21326,33949,46345,36013,10807
20222,R,전통시장,3130036,중부시장(신중부시장),CS300002,편의점,620115679,83645,427528758,192586921,83174476,86921985,84035293,80026834,93370170,118895299,73691622,63162408,114547902,91054294,83838724,150475604,117036747,377062441,205280819,4070649,160869457,148281882,123914404,100741102,44465768,59783,23862,11843,11865,11701,11654,12720,14269,9593,7266,16329,13911,12330,19348,14461,51827,28063,453,23458,21693,15536,12492,6257
20222,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300002,편의점,12575010094,2371557,10326370074,2248640020,1920170714,2081931564,2049773145,2111664237,2162830414,1382043550,866596470,670409193,3217585854,2401921837,2049452883,2662705963,1572934364,8041887060,3702357378,49477869,2361150608,3734547139,3104394125,1845404990,649269698,1979335,392222,372412,412131,392456,400035,402301,232413,159809,91676,707859,492208,407763,453835,218216,1507190,783323,12798,515406,754444,557734,330964,119174
20222,D,발달상권,3120023,서울시청,CS300002,편의점,2590742408,491224,2118208150,472534258,373242832,435855174,432918719,453566253,422625172,288718130,183816128,132051665,676628625,489280650,420263337,533950661,338567470,1711018611,713806020,5223557,426799912,764355050,644838775,462270814,121336525,407790,83434,73286,86689,81017,86464,80334,48991,34443,17027,147633,102516,82911,93452,47685,323357,152560,1300,94479,156060,116183,84586,23309
20222,R,전통시장,3130035,방산종합시장(방산시장),CS300002,편의점,447369390,87301,383095084,64274306,75394524,79694659,77480058,69091069,81434774,40370920,23903386,6936807,230439376,57183846,49591359,78578714,24639288,337697718,109671672,1178410,58207411,105519840,119031391,104603337,58829001,73056,14245,13925,14911,15158,13649,15413,9166,5079,995,43846,12274,10752,14947,4487,61195,26106,362,15682,21974,20191,17843,11249
20222,D,발달상권,3120053,건대입구역(건대),CS300002,편의점,3215575492,586208,2177388203,1038187289,394726400,426268418,428584029,437916483,489892873,556343138,481844151,580923736,381665481,278306247,356430090,829874008,788375930,1951033500,1233119728,102168144,1588857050,735198023,313200450,317185320,127544240,399331,186877,74770,78337,78797,79316,88111,101432,85445,96209,77799,58679,72410,152335,128776,346148,238417,22681,312224,127835,49017,53375,19433
20222,A,골목상권,3110140,건대입구역 6번,CS300002,편의점,1564138386,250318,1066511991,497626395,199814704,221727131,215589029,199809103,229572024,253533452,244092943,229533511,187621676,170821314,197604732,439871706,338685447,1038751848,525386538,17735919,570440743,398889203,289082649,190054351,97935521,172412,77906,34224,33869,34831,32918,36570,40448,37458,31069,33675,30392,37386,67071,50725,160792,89526,3909,108847,64547,37401,23488,12126
20222,D,발달상권,3120057,아차산역,CS300002,편의점,1535769249,276008,1084742186,451027063,206211174,212172034,214166464,223068076,229124438,242031518,208995545,175162911,269759837,191768640,199276262,396409384,303392215,923787149,610999230,46048905,299229612,407173391,385292874,300157055,96884542,196224,79784,37460,38746,38977,40552,40489,41836,37948,25422,54545,40580,40509,68250,46702,154059,121767,13116,58865,69576,69899,48068,16302
20222,A,골목상권,3110230,장안현대홈타운1차아파트,CS300002,편의점,1828171414,237228,1281179899,546991515,260694568,253805613,251139513,235470579,280069626,284572833,262418682,287240050,218201372,215848487,205159724,482884119,418837662,1185320555,579321499,14166251,320008519,536638066,534271577,250099908,109457735,167249,69979,33366,33839,31829,31143,37072,36642,33337,31845,34775,30027,29097,60851,50633,155308,75561,3920,46842,71975,61565,33053,13516
20222,A,골목상권,3110242,면목5동주민센터,CS300002,편의점,398292292,54183,280566109,117726183,58631555,55645554,53658600,49910318,62720082,63439465,54286718,48048538,71285070,41009382,42275193,105748960,89925149,273220592,125071700,1485108,74306943,100485397,96023754,96504685,29486405,38187,15996,7778,7670,7612,6703,8424,8227,7769,5590,10944,6479,6215,13122,11833,37368,16815,471,10223,14930,11567,13127,3865
