기준_년,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,1분기,2분기,3분기,4분기,시간대_00~06,시간대_06~11,시간대_11~14,시간대_14~17,시간대_17~21,시간대_21~24,시간대_매출금액,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
2021,A,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,72557094.0,185224.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0
2021,A,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,62101570.0,174918.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,429160889.0,112722.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,505553547.0,144801.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,219028437.0,129215.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,220179086.0,135055.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,189463290.0,222884.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,256550159.0,264777.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,49799528.0,34757.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,67679469.0,38404.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,33548247.0,34330.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,32037081.0,38283.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,18850470.0,68939.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2895574.0,84807.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,74814495.0,82547.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,104152568.0,132153.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,46334496.0,113285.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,42820807.0,117052.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,53288495.0,158071.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,17401505.0,159516.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,81282763.0,14343.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,98926052.0,21946.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,42040988.0,18269.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,50090671.0,18788.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,48195964.0,26072.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,31470193.0,25924.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,184177501.0,57788.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,239666796.0,81717.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,121844507.0,58999.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,112238086.0,60672.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,132615842.0,87651.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,89328369.0,101850.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,164916498.0,100496.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,223968645.0,101596.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,100267167.0,83970.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,124985929.0,100964.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,93341764.0,211684.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,62575582.0,310492.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,125837554.0,72766.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,141488827.0,122972.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,61952211.0,107589.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,53641966.0,109826.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,51740344.0,144916.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110989,대치동아우편취급국,11680.0,강남구,11680630.0,대치4동,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,74963282.0,149768.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,226972195.0,234871.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,262072043.0,322374.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
2021,A,골목상권,3110992,도곡초등학교,11680.0,강남구,11680630.0,대치4동,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,129744273.0,218625.0,256394.2,279768.5,2179.0,7894.0,3681.0,7.0,4023815.0,8.0,3923283050.0
